id_observacion,id_usuario,comentario
1,7,"Preguntas: No se registraron respuestas."
2,8,"Preguntas: No se registraron respuestas."
3,9,"Preguntas: No se registraron respuestas."
4,10,"Preguntas: No se registraron respuestas."
5,11,"Preguntas: No se registraron respuestas."
6,12,"Preguntas: No se registraron respuestas."
7,13,"Preguntas: No se registraron respuestas."
8,14,"Preguntas: 2, 2, 2, 2, 2, 2, 2, 2, 2, 2"
9,15,"Preguntas: 2, 2, 2, 2, 2, 2, 2, 2, 2, 2"
10,16,"Preguntas: s, s, s, s, s, s, s, s, s, s"
11,17,"Preguntas: s, s, s, s, s, s, s, s, s, s"
